Orden;Pregunta;Respuesta;Valor;
1; La organización del curso ha sido la adecuada, cumplimiento de fechas/horarios, entrega de material.  ;  Media ;4,75; 
2; El número de alumnos del grupo ha sido el adecuado para el desarrollo del curso;  Media ;4,5; 
3; Los contenidos del curso se han ajustado a tus expectativas;  Media ;4; 
4; Ha habido una combinación adecuada de teoría y práctica;  Media ;3,25; 
5; La duración del curso ha sido adecuada;  Media ;3,25; 
6; El horario ha favorecido la asistencia al curso;  Media ;3,75; 
7; El Formador ha demostrado conocer los temas tratados en profundidad;  Media ;4,75; 
8; El formador ha dinamizado el grupo, generando un clima que ha favorecido al aprendizaje.;  Media ;4,75; 
9; Los materiales y documentación utilizados han sido comprensibles y adecuados;  Media ;4,5; 
10; El Equipamiento y medios técnicos (pizarra, proyector...);  Media ;4,5; 
11; El Aula e instalaciones (espacio, luminosidad, ventilación....);  Media ;4,75; 
12; El curso le ha permitido adquirir nuevas habilidades/capacidades  que pueda aplicar al puesto de trabajo?;  Media ;4,5; 
13; Recomendaría este curso a otros compañeros;  Media ;4,5; 
14; Observaciones:;  Media ;0; 
